Text Title,Text Author(s),Translator(s),Original Language,Anthology / Book Title / Link,LDA Full Corpus Topics,BERTopic Full Corpus Topics,BERTopic Language-Specific Corpus Topics
The Worst Has Arrived,Paresh Sarkar,Madhurima Nandi,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",17,-1,-1
Labour,Apurba Bauri,Madhusree Bhattacharjee,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",16,0,-1
No Choice,Manju Bala,Manjari Ghosh,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",14,-1,1
A Song to Sensitize Society,Ramesh Chandra Sarkar,Manjari Ghosh,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",17,-1,0
"Chuni, Forgive Us",Sona Hembram,Manohar Mouli Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",6,0,-1
A Dark Oath,Panchanan Das,Md. Wasi U Jaman,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",16,-1,0
The War Has Started,Pasupati Prasad Mahato,Nabamita Mondol,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",13,0,0
No Surrender,Pallabi Mondal,Niladri Tikadar,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",20,0,0
Marichjhampi on International Children's Year,Ranjit Kumar Sikder,Payel Deb,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",3,0,0
Marichjhampi,Hrishikesh Halder,Payel Deb,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",14,1,-1
Question and Rights,Badal Hembram,Pinky Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",1,0,-1
How Long,Sudhir Ranjan Halder,Pritha Dutta Roy,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",9,7,1
The Untouchable Poem,Sudhir Mullick,Rajorshi Mondol,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",9,1,1
Revolution,Sukanta Mandal,Rittwika Pal,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",20,0,0
Once Freely,Kapil Krishna Thakur,Sajay Sutradhar,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",15,-1,0
Tapestry of Bengal: 2004,Sushil Kumar Panja,Samprikta Pal,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",3,-1,-1
The Sunrise,Parimal Baidya,"Sanjana Habishyashi, Subhajyoti Das",Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",9,2,-1
Known Unknown,Amar Biswas,"Sarmin Mallick, Munmun Dutta",Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",19,-1,-1
Answer,Sunil Kumar Mandal,Shrabani Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",1,-1,1
Human Rights,Debashis Mondal,Shubh Brat Sarkar,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",2,0,0
The Caste without a King,Kalyani Thakur Charal,Shubh Brat Sarkar,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",17,0,0
Assassination of Shambuka,Jatin Bala,Shubh Brat Sarkar,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",9,1,1
A Labyrinth,Sukanta Mandal,Shubh Brat Sarkar,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",13,7,1
Brainwash,Manju Bala,Somesna Dutta,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",14,-1,-1
In Search of Self,Malay Biswas,Soubhik Kundu,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",2,3,0
The Dream Peddler,Debashis Mondal,Soumi Chattopadhyay,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",12,-1,-1
The Sound of Breath in Our Wings,Shyamal Kumar Pramanik,Sourav Chatterjee,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",19,-1,1
"Aunt Basini, the Jhumur Dancer",Kalyani Thakur Charal,Sravani Basu,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",19,3,0
Dream,Samar Roy,Subham Paul,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",11,-1,-1
Saga of Bow and String,Marshal Hembram,Subhosree Mazumdar,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",4,-1,-1
Civilization,Binoy Majumder,Subir Santra,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",8,3,-1
The Way,Sonalisa Das,Subrata Banerjee,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",16,2,1
The Neighbour,Jatin Bala,Sudipta Mondal,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",14,-1,-1
The Poem of the Downtrodden,Kalyani Thakur Charal,Sudipta Mondal,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",6,0,0
Domestic Dove,Sadha Chandra Naskar,Susmita Bhattacharjee,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",14,-1,-1
Maid Servants Special,Upen Biswas,Tanmoy Ghosh,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",3,0,-1
We Also Have Our Sun,Jhuma Mondal,Tannistha Palit,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",19,2,1
Oath Taking,Gurupada Mondal,Upasana Nandy,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",16,0,0
Bagharu,Santosh Singha,Mithun Barman,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",2,-1,-1
Asmani,Jasim Uddin,Shubh Brat Sarkar,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",7,-1,-1
House in Turmoil,Bijoy Sarkar,Shubh Brat Sarkar,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",17,-1,-1
Memory Burden,Sadhu Murmu Ramchand,Barnali Das,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",18,-1,-1
What is Caste,Bijoy Sarkar,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",6,0,-1
"Illiterate, Therefore, We Are",Mahananda Haldar,Pralay Patra,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",15,0,0
My Community,Raicharan Biswas,Julekha Nur,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",16,0,0
Affluence but Starvation,Bijoy Sarkar,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",17,0,-1
"Hands to Work, Lips to Pray",Tarak Chandra Sarkar,Susmita Ghosh,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",17,0,0
Bhowaiya,Dhaneswar Ray,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",3,3,0
Stone,Santosh Singha,Dipak Barman,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",11,3,0
Due Demand,Basanta Kumar Mandal,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",7,5,-1
The Song of the Refugees,Smritikana Howlader,Angana Dutta,Bengali,https://museindia.com/Home/AuthorContentDataView,18,-1,-1
O Woman in the Dark,Kalyani Thakur Charal,Baisali Hui,Bengali,https://museindia.com/Home/AuthorContentDataView,16,2,-1
We've Stood For Challenging,Jatin Bala,Unknown,Bengali,https://museindia.com/Home/AuthorContentDataView,9,-1,1
1,Kalyani Thakur Charal,"Jaydeep Sarangi, Zinia Mitra",Bengali,Poems of Chandalini,4,0,-1
45,Kalyani Thakur Charal,"Jaydeep Sarangi, Zinia Mitra",Bengali,Poems of Chandalini,4,0,0
33,Kalyani Thakur Charal,"Jaydeep Sarangi, Zinia Mitra",Bengali,Poems of Chandalini,6,0,0
37,Kalyani Thakur Charal,"Jaydeep Sarangi, Zinia Mitra",Bengali,Poems of Chandalini,1,1,1
13,Kalyani Thakur Charal,"Jaydeep Sarangi, Zinia Mitra",Bengali,Poems of Chandalini,9,1,-1
12,Kalyani Thakur Charal,"Jaydeep Sarangi, Zinia Mitra",Bengali,Poems of Chandalini,6,2,-1
26,Kalyani Thakur Charal,"Jaydeep Sarangi, Zinia Mitra",Bengali,Poems of Chandalini,12,4,1
O My Homeland!,Shyamal Kumar Pramanik,"Jaydeep Sarangi, Anurima Chanda",Bengali,The Untouchable & Other Poems,18,-1,1
When Again Will I Sing the Songs of Freedom?,Shyamal Kumar Pramanik,"Jaydeep Sarangi, Anurima Chanda",Bengali,The Untouchable & Other Poems,18,-1,1
"Come, Hold My Hands",Shyamal Kumar Pramanik,"Jaydeep Sarangi, Anurima Chanda",Bengali,The Untouchable & Other Poems,12,1,1
"Listen, Here I Leave",Shyamal Kumar Pramanik,"Jaydeep Sarangi, Anurima Chanda",Bengali,The Untouchable & Other Poems,18,3,-1
My Existence in Ruins,Shyamal Kumar Pramanik,"Jaydeep Sarangi, Anurima Chanda",Bengali,The Untouchable & Other Poems,10,7,1
Descending Darkness,Shyamal Kumar Pramanik,"Jaydeep Sarangi, Anurima Chanda",Bengali,The Untouchable & Other Poems,16,7,1
Himalayas Are Dalit,Mohan Mukt,Bharatbhooshan Tiwari,Hindi / Urdu,https://bombaylitmag.com/issue59-bharatbhooshan-tiwari/,18,-1,-1
"My Pen, My Words",Gaurav J. Pathania,"Richa Dube, Anurag, Annika Taneja",Hindi / Urdu,https://journals.library.brandeis.edu/index.php/caste/article/view/671/1813,13,1,-1
Rukhsana’s House- 8,Anita Bharti,Huzaifa Pandit,Hindi / Urdu,https://kashmirlit.org/ten-poems-by-anita-bharti/,2,-1,-1
Rukhsana’s House- 4,Anita Bharti,Huzaifa Pandit,Hindi / Urdu,https://kashmirlit.org/ten-poems-by-anita-bharti/,3,-1,-1
Rukhsana’s House- 10,Anita Bharti,Huzaifa Pandit,Hindi / Urdu,https://kashmirlit.org/ten-poems-by-anita-bharti/,4,-1,-1
Rukhsana’s House- 3,Anita Bharti,Huzaifa Pandit,Hindi / Urdu,https://kashmirlit.org/ten-poems-by-anita-bharti/,5,-1,-1
Rukhsana’s House- 7,Anita Bharti,Huzaifa Pandit,Hindi / Urdu,https://kashmirlit.org/ten-poems-by-anita-bharti/,11,-1,0
Rukhsana’s House- 9,Anita Bharti,Huzaifa Pandit,Hindi / Urdu,https://kashmirlit.org/ten-poems-by-anita-bharti/,18,-1,-1
Rukhsana’s House- 2,Anita Bharti,Huzaifa Pandit,Hindi / Urdu,https://kashmirlit.org/ten-poems-by-anita-bharti/,18,-1,1
Rukhsana’s House- 1,Anita Bharti,Huzaifa Pandit,Hindi / Urdu,https://kashmirlit.org/ten-poems-by-anita-bharti/,3,0,-1
Rukhsana’s House- 5,Anita Bharti,Huzaifa Pandit,Hindi / Urdu,https://kashmirlit.org/ten-poems-by-anita-bharti/,16,0,-1
Rukhsana’s House- 6,Anita Bharti,Huzaifa Pandit,Hindi / Urdu,https://kashmirlit.org/ten-poems-by-anita-bharti/,18,0,0
Woman,Rajat Rani ‘Meenu’ ,Nikhil Pandhi,Hindi / Urdu,https://livewire.thewire.in/livewire/five-dalit-feminist-poems/,16,-1,-1
Self-realization,Rajat Rani ‘Meenu’ ,Nikhil Pandhi,Hindi / Urdu,https://livewire.thewire.in/livewire/five-dalit-feminist-poems/,19,-1,1
Wrinkles of Life,Rajat Rani ‘Meenu’ ,Nikhil Pandhi,Hindi / Urdu,https://livewire.thewire.in/livewire/five-dalit-feminist-poems/,19,-1,1
Throne,Rajat Rani ‘Meenu’ ,Nikhil Pandhi,Hindi / Urdu,https://livewire.thewire.in/livewire/five-dalit-feminist-poems/,2,0,0
Untitled,Rajat Rani ‘Meenu’ ,Nikhil Pandhi,Hindi / Urdu,https://livewire.thewire.in/livewire/five-dalit-feminist-poems/,19,1,1
MY SCRUTINY,Kunti,Anjali Singh,Hindi / Urdu,https://museindia.com/Home/AuthorContentDataView,2,-1,1
Life is beautiful,Kunti,Anjali Singh,Hindi / Urdu,https://museindia.com/Home/AuthorContentDataView,7,-1,-1
A lighted lamp,Kunti,Anjali Singh,Hindi / Urdu,https://museindia.com/Home/AuthorContentDataView,5,2,1
A RAY OF LIGHT,Kunti,Anjali Singh,Hindi / Urdu,https://museindia.com/Home/AuthorContentDataView,5,2,1
THAT WOMAN,Kunti,Anjali Singh,Hindi / Urdu,https://museindia.com/Home/AuthorContentDataView,16,2,1
"You Cannot Die, Manu Taanti",Gurinder Azad,Akshay Pathak,Hindi / Urdu,https://roundtableindia.co.in/lit-blogs/?cat=20,18,4,-1
Janeu-less Writer,Musafir Baitha,"Gaurav Somwanshi, Akshay Pathak",Hindi / Urdu,"https://roundtableindia.co.in/lit-blogs/?cat=20
https://sahityapedia.com/janeu-less-writer-poem-by-musafir-baitha-213610/ ",17,-1,-1
Human and Woman,Poonam Tushamad,Nikhil Pandhi,Hindi / Urdu,https://scroll.in/article/1028933/a-woman-and-fire-are-as-ancient-as-civilisation-six-dalit-feminist-poems-by-poonam-tushamad,2,-1,0
Untitled,Poonam Tushamad,Nikhil Pandhi,Hindi / Urdu,https://scroll.in/article/1028933/a-woman-and-fire-are-as-ancient-as-civilisation-six-dalit-feminist-poems-by-poonam-tushamad,13,0,0
"Home, Woman, Walking",Poonam Tushamad,Nikhil Pandhi,Hindi / Urdu,https://scroll.in/article/1028933/a-woman-and-fire-are-as-ancient-as-civilisation-six-dalit-feminist-poems-by-poonam-tushamad,13,2,1
Woman and Fire,Poonam Tushamad,Nikhil Pandhi,Hindi / Urdu,https://scroll.in/article/1028933/a-woman-and-fire-are-as-ancient-as-civilisation-six-dalit-feminist-poems-by-poonam-tushamad,16,2,-1
Furnace,Poonam Tushamad,Nikhil Pandhi,Hindi / Urdu,https://scroll.in/article/1028933/a-woman-and-fire-are-as-ancient-as-civilisation-six-dalit-feminist-poems-by-poonam-tushamad,16,2,1
Worth,Poonam Tushamad,Nikhil Pandhi,Hindi / Urdu,https://scroll.in/article/1028933/a-woman-and-fire-are-as-ancient-as-civilisation-six-dalit-feminist-poems-by-poonam-tushamad,13,4,-1
Books,Jai Prakash Kardam,Roomy Naqvy,Hindi / Urdu,https://www.academia.edu/16545936/Four_Poems_by_Jaiprakash_Kardam,3,-1,0
Harijan,Jai Prakash Kardam,Roomy Naqvy,Hindi / Urdu,https://www.academia.edu/16545936/Four_Poems_by_Jaiprakash_Kardam,17,-1,-1
Reservations,Jai Prakash Kardam,Roomy Naqvy,Hindi / Urdu,https://www.academia.edu/16545936/Four_Poems_by_Jaiprakash_Kardam,6,0,0
The Grammar of Caste,Jai Prakash Kardam,Roomy Naqvy,Hindi / Urdu,https://www.academia.edu/16545936/Four_Poems_by_Jaiprakash_Kardam,12,0,0
In Time,Rambharat Pasi,Ambrish,Hindi / Urdu,https://www.gulmohurquarterly.com/essay/the-dalit-question-in-contemporary-hindi-poetry-ambrish-issue-06,13,-1,-1
Harvests of Pain,Susheela Takbhore,Ambrish,Hindi / Urdu,https://www.gulmohurquarterly.com/essay/the-dalit-question-in-contemporary-hindi-poetry-ambrish-issue-06,15,-1,-1
Will You Still Remain Silent?,Asang Ghosh,Ambrish,Hindi / Urdu,https://www.gulmohurquarterly.com/essay/the-dalit-question-in-contemporary-hindi-poetry-ambrish-issue-06,18,-1,-1
A Donkey’s Head,Ramanika Gupta,Ambrish,Hindi / Urdu,https://www.gulmohurquarterly.com/essay/the-dalit-question-in-contemporary-hindi-poetry-ambrish-issue-06,6,0,0
Out of Brahma’s Mouth,Navendu Maharshi,Ambrish,Hindi / Urdu,https://www.gulmohurquarterly.com/essay/the-dalit-question-in-contemporary-hindi-poetry-ambrish-issue-06,13,0,0
A Neutral Person,Rambharat Pasi,Ambrish,Hindi / Urdu,https://www.gulmohurquarterly.com/essay/the-dalit-question-in-contemporary-hindi-poetry-ambrish-issue-06,15,0,0
Your God,Asang Ghosh,Ambrish,Hindi / Urdu,https://www.gulmohurquarterly.com/essay/the-dalit-question-in-hindi-poetry-adam-gondvi-asang-ghosh-surajpal-chauhan-ambrish-issue-02,1,-1,-1
"Come, Behold!",Adam Gondvi,Ambrish,Hindi / Urdu,https://www.gulmohurquarterly.com/essay/the-dalit-question-in-hindi-poetry-adam-gondvi-asang-ghosh-surajpal-chauhan-ambrish-issue-02,1,-1,0
For You Life is a Blossoming Gulmohur,Adam Gondvi,Ambrish,Hindi / Urdu,https://www.gulmohurquarterly.com/essay/the-dalit-question-in-hindi-poetry-adam-gondvi-asang-ghosh-surajpal-chauhan-ambrish-issue-02,13,-1,0
Those Bereft of Any Mention in the Vedas,Adam Gondvi,Ambrish,Hindi / Urdu,https://www.gulmohurquarterly.com/essay/the-dalit-question-in-hindi-poetry-adam-gondvi-asang-ghosh-surajpal-chauhan-ambrish-issue-02,14,-1,0
In the Name of Artistry,Suraj Pal Chauhan,Ambrish,Hindi / Urdu,https://www.gulmohurquarterly.com/essay/the-dalit-question-in-hindi-poetry-adam-gondvi-asang-ghosh-surajpal-chauhan-ambrish-issue-02,15,-1,-1
"Come, Sit With Me",Asang Ghosh,Ambrish,Hindi / Urdu,https://www.gulmohurquarterly.com/essay/the-dalit-question-in-hindi-poetry-adam-gondvi-asang-ghosh-surajpal-chauhan-ambrish-issue-02,4,0,0
The Actual Matter is This,Suraj Pal Chauhan,Ambrish,Hindi / Urdu,https://www.gulmohurquarterly.com/essay/the-dalit-question-in-hindi-poetry-adam-gondvi-asang-ghosh-surajpal-chauhan-ambrish-issue-02,19,0,0
Mountain Woman,Nirmala Putul,"Aruna Sitesh, Arlene Zide, Pramod Kumar Tiwari",Hindi / Urdu,https://www.jstor.org/stable/23346285,18,-1,-1
What Am I to You?,Nirmala Putul,"Aruna Sitesh, Arlene Zide, Pramod Kumar Tiwari",Hindi / Urdu,https://www.jstor.org/stable/23346286,8,4,1
Mountain Child,Nirmala Putul,"Aruna Sitesh, Arlene Zide, Pramod Kumar Tiwari",Hindi / Urdu,https://www.jstor.org/stable/23346288,2,-1,-1
Mountain Man,Nirmala Putul,"Aruna Sitesh, Arlene Zide, Pramod Kumar Tiwari",Hindi / Urdu,https://www.jstor.org/stable/23346288,2,-1,-1
Killer,Mukesh Manas,Anamika,Hindi / Urdu,https://www.jstor.org/stable/27276252,19,3,0
"For My Daughter, Murmu",Nirmala Putul,Anamika,Hindi / Urdu,https://www.jstor.org/stable/27276256,2,-1,0
Father Is No Less than Mother,Rajat Rani ‘Meenu’ ,Rashmi Bhardwaj,Hindi / Urdu,https://www.jstor.org/stable/27276283,10,-1,1
Oh Ganesh,Asang Ghosh,Mohan Dass Namish,Hindi / Urdu,https://www.jstor.org/stable/i23339373,4,-1,-1
Beat of a Thousand Feet,Rajni Tilak,Mohan Dass Namish,Hindi / Urdu,https://www.jstor.org/stable/i23339373,9,-1,-1
The Name of Father,Kusum Meghwal,Mohan Dass Namish,Hindi / Urdu,https://www.jstor.org/stable/i23339373,11,-1,-1
In My Memories,Om Prakash Valmiki,Mohan Dass Namish,Hindi / Urdu,https://www.jstor.org/stable/i23339373,18,-1,-1
The Silent Volcano,Susheela Takbhore,Mohan Dass Namish,Hindi / Urdu,https://www.jstor.org/stable/i23339373,20,-1,1
Nothing will Change,Sheoraj Singh Bechain,Mohan Dass Namish,Hindi / Urdu,https://www.jstor.org/stable/i23339373,2,0,0
Where Are My Rights,Jai Prakash Kardam,Mohan Dass Namish,Hindi / Urdu,https://www.jstor.org/stable/i23339373,3,0,0
Oh Comrade,Jai Prakash Lilvan,Mohan Dass Namish,Hindi / Urdu,https://www.jstor.org/stable/i23339373,8,0,0
How I Believe,Suraj Pal Chauhan,Mohan Dass Namish,Hindi / Urdu,https://www.jstor.org/stable/i23339373,12,0,0
We Will Fight,Mohan Dass Namishray,Mohan Dass Namish,Hindi / Urdu,https://www.jstor.org/stable/i23339373,14,0,0
The Movements Songs,Kapoor Vasnik,Mohan Dass Namish,Hindi / Urdu,https://www.jstor.org/stable/i23339373,18,0,0
Why Am I Angry?,Malkhan Singh,Mohan Dass Namish,Hindi / Urdu,https://www.jstor.org/stable/i23339373,18,0,0
At the Foundation of Ideal,Eash Kumar Gangania,Mohan Dass Namish,Hindi / Urdu,https://www.jstor.org/stable/i23339373,13,5,0
The Toy-train,Jayant Parmar,Baidar Bakht,Hindi / Urdu,https://www.jstor.org/stable/i23340080,2,-1,-1
The Smell of Hell,Jayant Parmar,Baidar Bakht,Hindi / Urdu,https://www.jstor.org/stable/i23340080,8,-1,-1
The City,Jayant Parmar,Baidar Bakht,Hindi / Urdu,https://www.jstor.org/stable/i23340080,8,-1,0
The Morning Winds,Jayant Parmar,Baidar Bakht,Hindi / Urdu,https://www.jstor.org/stable/i23340080,12,-1,1
March Second,Jayant Parmar,Baidar Bakht,Hindi / Urdu,https://www.jstor.org/stable/i23340080,20,-1,-1
Where Have I Kept the Poem,Jayant Parmar,Baidar Bakht,Hindi / Urdu,https://www.jstor.org/stable/i23340080,2,1,1
Pencil (1),Jayant Parmar,Baidar Bakht,Hindi / Urdu,https://www.jstor.org/stable/i23340080,4,1,-1
The Last Will of the Dalit Poet,Jayant Parmar,Baidar Bakht,Hindi / Urdu,https://www.jstor.org/stable/i23340080,4,1,1
The Paper (1),Jayant Parmar,Baidar Bakht,Hindi / Urdu,https://www.jstor.org/stable/i23340080,8,1,-1
Spartacus of new era,Mukesh Manas,Mukesh Manas,Hindi / Urdu,https://www.revolutionarydemocracy.org/rdv17n2/dalit.htm,14,-1,0
However,Om Prakash Valmiki,Mukesh Manas,Hindi / Urdu,https://www.revolutionarydemocracy.org/rdv17n2/dalit.htm,18,-1,1
